index,Price_TL,Price_UDS,Exc_Rate,Elec_Consumption,Noc,Price_Index,Price_Index_2, House_Sell, Weather_Forecast,Working_Day
1.1.2016,149.58,49.96,3.01,76305.86,167133.00,280.74,1.60,391.00,3.47,20.00
1.2.2016,104.08,35.42,2.94,79643.27,167752.00,280.17,-0.20,451.00,10.03,21.00
1.3.2016,108.80,37.63,2.89,83820.02,168391.00,280.90,0.26,557.00,10.88,23.00
1.4.2016,118.48,41.79,2.83,75995.50,169706.00,282.96,0.73,469.00,12.90,21.00
1.5.2016,117.50,40.27,2.93,76554.40,169706.00,284.15,0.42,450.00,17.14,21.00
1.6.2016,141.70,48.54,2.92,75403.36,170434.00,285.83,0.59,532.00,17.10,22.00
1.7.2016,135.06,45.76,2.96,73624.61,171071.00,289.19,1.18,398.00,23.78,17.00
1.8.2016,161.48,54.54,2.96,75403.36,171932.00,287.18,-0.70,561.00,24.95,22.00
1.9.2016,139.75,47.24,2.96,70082.59,172618.00,287.38,0.07,520.00,19.93,18.00
1.10.2016,140.51,45.86,3.07,83347.46,173333.00,292.18,1.67,579.00,14.98,21.00
1.11.2016,148.06,45.12,3.27,82677.04,174197.00,293.59,0.48,640.00,9.63,22.00
1.12.2016,212.48,62.72,3.49,89081.46,175288.00,297.95,1.49,682.00,1.52,22.00
1.1.2017,181.32,48.40,3.73,88149.12,176054.00,306.05,2.72,464.00,2.87,22.00
1.2.2017,172.55,46.94,3.67,80465.56,177180.00,307.87,0.59,518.00,6.93,20.00
1.3.2017,145.29,39.62,3.67,85552.57,178327.00,311.59,1.21,676.00,10.36,23.00
1.4.2017,145.13,39.76,3.65,80637.77,179637.00,315.36,1.21,482.00,12.48,20.00
1.5.2017,152.36,42.69,3.56,81794.86,179637.00,317.16,0.57,569.00,17.41,21.00
1.6.2017,148.54,42.24,3.52,76238.81,179845.00,316.62,-0.17,480.00,22.19,20.00
1.7.2017,175.06,49.21,3.56,92127.21,180656.00,316.29,-0.10,639.00,24.15,21.00
1.8.2017,173.33,49.34,3.51,95642.66,181302.00,317.73,0.46,580.00,24.36,21.00
1.9.2017,178.51,51.62,3.47,87607.65,182271.00,320.21,0.78,739.00,21.63,19.00
1.10.2017,164.13,44.79,3.66,89014.30,183273.00,327.80,2.37,663.00,14.60,22.00
1.11.2017,174.65,45.04,3.88,93085.08,183865.00,332.71,1.50,759.00,10.71,22.00
