index,Price_TL,Price_UDS,Exc_Rate,Elec_Consumption,Noc,Price_Index,Price_Index_2, House_Sell,Weather_Forecast,Working_Day
1.1.2016,149.58,49.96,3.01,700074.90,807747.00,280.74,1.60,2136.00,6.56,20.00
1.2.2016,104.08,35.42,2.94,781289.06,810593.00,280.17,-0.20,2561.00,11.96,21.00
1.3.2016,108.80,37.63,2.89,814271.97,813610.00,280.90,0.26,3129.00,12.03,23.00
1.4.2016,118.48,41.79,2.83,810676.43,818934.00,282.96,0.73,2700.00,17.63,21.00
1.5.2016,117.50,40.27,2.93,826673.01,818934.00,284.15,0.42,3240.00,18.74,21.00
1.6.2016,141.70,48.54,2.92,817353.82,821885.00,285.83,0.59,2947.00,24.41,22.00
1.7.2016,135.06,45.76,2.96,816566.78,824058.00,289.19,1.18,2044.00,25.92,17.00
1.8.2016,161.48,54.54,2.96,918731.72,827040.00,287.18,-0.70,2867.00,26.46,22.00
1.9.2016,139.75,47.24,2.96,773678.19,829262.00,287.38,0.07,2602.00,22.25,18.00
1.10.2016,140.51,45.86,3.07,778626.51,832170.00,292.18,1.67,3413.00,16.75,21.00
1.11.2016,148.06,45.12,3.27,799369.60,836482.00,293.59,0.48,3860.00,12.61,22.00
1.12.2016,212.48,62.72,3.49,783002.18,844701.00,297.95,1.49,3758.00,4.94,22.00
1.1.2017,181.32,48.40,3.73,810220.05,847766.00,306.05,2.72,2635.00,4.73,22.00
1.2.2017,172.55,46.94,3.67,767131.73,853142.00,307.87,0.59,2811.00,8.36,20.00
1.3.2017,145.29,39.62,3.67,817815.12,854509.00,311.59,1.21,3869.00,11.08,23.00
1.4.2017,145.13,39.76,3.65,785858.18,860898.00,315.36,1.21,3330.00,13.95,20.00
1.5.2017,152.36,42.69,3.56,779069.63,860898.00,317.16,0.57,3345.00,18.44,21.00
1.6.2017,148.54,42.24,3.52,709319.21,862280.00,316.62,-0.17,2865.00,23.38,20.00
1.7.2017,175.06,49.21,3.56,845075.72,865930.00,316.29,-0.10,3145.00,25.70,21.00
1.8.2017,173.33,49.34,3.51,808176.88,869383.00,317.73,0.46,3026.00,25.73,21.00
1.9.2017,178.51,51.62,3.47,778628.80,871951.00,320.21,0.78,3534.00,23.54,19.00
1.10.2017,164.13,44.79,3.66,846018.64,875737.00,327.80,2.37,3233.00,16.74,22.00
1.11.2017,174.65,45.04,3.88,869672.91,878903.00,332.71,1.50,3387.00,13.30,22.00
1.12.2017,155.82,40.51,3.85,893447.36,884593.00,335.62,0.87,3718.00,11.82,21.00
1.1.2018,182.86,48.53,3.77,827029.89,882819.00,338.93,0.99,2845.00,8.47,22.00
1.2.2018,175.77,46.55,3.78,853744.68,887138.00,340.19,0.37,2706.00,9.53,20.00
1.3.2018,158.56,40.85,3.88,909682.07,892944.00,343.18,0.88,3144.00,12.89,22.00
1.4.2018,193.57,47.79,4.05,840651.71,905165.00,349.62,1.88,2724.00,17.14,20.00
1.5.2018,179.44,40.78,4.41,866044.86,895437.00,355.48,1.68,3288.00,20.10,23.00
1.6.2018,185.62,40.16,4.63,807368.87,898782.00,365.68,2.87,3095.00,24.00,19.00
1.7.2018,208.13,43.83,4.75,909150.14,906182.00,367.16,0.40,3149.00,25.87,22.00
1.8.2018,298.91,51.73,5.73,742396.97,908732.00,376.29,2.49,2570.00,26.99,18.00
1.9.2018,327.27,51.67,6.37,946561.43,912301.00,401.83,6.79,3144.00,22.66,20.00
1.10.2018,317.28,54.38,5.86,857404.19,916574.00,411.92,2.51,3500.00,10.56,22.00
1.11.2018,291.22,54.16,5.37,857404.19,921059.00,404.41,-1.82,2427.00,13.49,22.00
1.12.2018,257.89,48.71,5.31,914742.59,925638.00,402.54,-0.46,3191.00,7.73,21.00
1.1.2019,223.04,41.59,5.37,830713.73,930521.00,406.57,1.00,1955.00,7.76,22.00
1.2.2019,257.05,48.86,5.26,804840.07,933280.00,406.91,0.08,2021.00,7.84,20.00
1.3.2019,256.04,47.08,5.44,872057.79,936524.00,410.14,0.79,2728.00,10.86,21.00
1.4.2019,187.15,32.73,5.74,829077.69,939673.00,417.23,1.73,2290.00,13.65,21.00
1.5.2019,196.17,32.43,6.05,871164.08,943029.00,420.77,0.85,2243.00,20.72,22.00
