index,Price_TL,Price_UDS,Exc_Rate,Elec_Consumption,Noc,Price_Index,Price_Index_2, House_Sell, Weather_Forecast,Working_Day
1.1.2016, 149.58 , 49.96 , 3.01 ," 62,556.24 "," 188,820.00 ", 280.74 , 1.60 , 603.00 , 7.21 , 20.00 
1.2.2016, 104.08 , 35.42 , 2.94 ," 45,489.84 "," 189,181.00 ", 280.17 ,-0.20 , 725.00 , 11.58 , 21.00 
1.3.2016, 108.80 , 37.63 , 2.89 ," 46,198.47 "," 189,654.00 ", 280.90 , 0.26 , 898.00 , 11.54 , 23.00 
1.4.2016, 118.48 , 41.79 , 2.83 ," 41,193.59 "," 190,647.00 ", 282.96 , 0.73 , 781.00 , 16.13 , 21.00 
1.5.2016, 117.50 , 40.27 , 2.93 ," 41,473.99 "," 190,647.00 ", 284.15 , 0.42 , 783.00 , 18.49 , 21.00 
1.6.2016, 141.70 , 48.54 , 2.92 ," 44,528.79 "," 191,134.00 ", 285.83 , 0.59 , 640.00 , 23.63 , 22.00 
1.7.2016, 135.06 , 45.76 , 2.96 ," 48,453.70 "," 191,620.00 ", 289.19 , 1.18 , 575.00 , 25.41 , 17.00 
1.8.2016, 161.48 , 54.54 , 2.96 ," 44,528.79 "," 192,329.00 ", 287.18 ,-0.70 , 834.00 , 25.89 , 22.00 
1.9.2016, 139.75 , 47.24 , 2.96 ," 41,626.71 "," 182,271.00 ", 287.38 , 0.07 , 704.00 , 21.49 , 18.00 
1.10.2016, 140.51 , 45.86 , 3.07 ," 39,358.07 "," 193,282.00 ", 292.18 , 1.67 , 841.00 , 16.39 , 21.00 
1.11.2016, 148.06 , 45.12 , 3.27 ," 40,226.13 "," 194,031.00 ", 293.59 , 0.48 , 871.00 , 12.53 , 22.00 
1.12.2016, 212.48 , 62.72 , 3.49 ," 43,233.52 "," 194,517.00 ", 297.95 , 1.49 , 860.00 , 5.07 , 22.00 
1.1.2017, 181.32 , 48.40 , 3.73 ," 57,412.11 "," 194,933.00 ", 306.05 , 2.72 , 641.00 , 4.45 , 22.00 
1.2.2017, 172.55 , 46.94 , 3.67 ," 50,831.63 "," 195,413.00 ", 307.87 , 0.59 , 745.00 , 8.21 , 20.00 
1.3.2017, 145.29 , 39.62 , 3.67 ," 55,053.26 "," 195,994.00 ", 311.59 , 1.21 , 906.00 , 9.83 , 23.00 
1.4.2017, 145.13 , 39.76 , 3.65 ," 50,061.52 "," 197,139.00 ", 315.36 , 1.21 , 852.00 , 12.73 , 20.00 
1.5.2017, 152.36 , 42.69 , 3.56 ," 47,076.08 "," 197,139.00 ", 317.16 , 0.57 , 858.00 , 17.97 , 21.00 
1.6.2017, 148.54 , 42.24 , 3.52 ," 46,928.48 "," 197,458.00 ", 316.62 ,-0.17 , 598.00 , 22.81 , 20.00 
1.7.2017, 175.06 , 49.21 , 3.56 ," 55,097.25 "," 198,373.00 ", 316.29 ,-0.10 , 918.00 , 25.29 , 21.00 
1.8.2017, 173.33 , 49.34 , 3.51 ," 55,077.86 "," 199,118.00 ", 317.73 , 0.46 ," 1,005.00 ", 25.37 , 21.00 
1.9.2017, 178.51 , 51.62 , 3.47 ," 54,235.27 "," 199,701.00 ", 320.21 , 0.78 , 924.00 , 22.25 , 19.00 
1.10.2017, 164.13 , 44.79 , 3.66 ," 42,617.17 "," 200,338.00 ", 327.80 , 2.37 , 845.00 , 15.48 , 22.00 
1.11.2017, 174.65 , 45.04 , 3.88 ," 46,988.31 "," 200,901.00 ", 332.71 , 1.50 , 889.00 , 12.69 , 22.00 
1.12.2017, 155.82 , 40.51 , 3.85 ," 48,275.13 "," 201,428.00 ", 335.62 , 0.87 ," 1,014.00 ", 11.56 , 21.00 
1.1.2018, 182.86 , 48.53 , 3.77 ," 53,354.07 "," 201,765.00 ", 338.93 , 0.99 , 743.00 , 8.86 , 22.00 
1.2.2018, 175.77 , 46.55 , 3.78 ," 57,830.72 "," 202,270.00 ", 340.19 , 0.37 , 685.00 , 9.79 , 20.00 
1.3.2018, 158.56 , 40.85 , 3.88 ," 51,767.79 "," 202,770.00 ", 343.18 , 0.88 , 860.00 , 12.79 , 22.00 
1.4.2018, 193.57 , 47.79 , 4.05 ," 49,255.48 "," 203,415.00 ", 349.62 , 1.88 , 847.00 , 14.51 , 20.00 
1.5.2018, 179.44 , 40.78 , 4.41 ," 47,714.05 "," 203,947.00 ", 355.48 , 1.68 , 918.00 , 19.31 , 23.00 
1.6.2018, 185.62 , 40.16 , 4.63 ," 54,298.01 "," 204,523.00 ", 365.68 , 2.87 , 841.00 , 22.98 , 19.00 
1.7.2018, 208.13 , 43.83 , 4.75 ," 56,053.66 "," 205,160.00 ", 367.16 , 0.40 ," 1,122.00 ", 25.39 , 22.00 
